topo,trace,avg_latency
dbl_bfly_x,blackscholes_simmedium,19.9511
kite_large,blackscholes_simmedium,18.9541
kite_large,canneal_simmedium,19.4329
dbl_bfly_x,canneal_simmedium,20.1821
dbl_bfly_x,fluidanimate_simlarge,20.9756
kite_large,fluidanimate_simlarge,25.8704
kite_large,swaptions_simlarge,19.0952
dbl_bfly_x,swaptions_simlarge,20.3259
dbl_bfly_x,dedup_simmedium,20.5906
kite_large,dedup_simmedium,19.5965
kite_large,bodytrack_simlarge,19.5812
dbl_bfly_x,bodytrack_simlarge,20.7771
kite_large,vips_simmedium,19.8635
dbl_bfly_x,vips_simmedium,21.082
kite_large,x264_simmedium,19.9674
dbl_bfly_x,x264_simmedium,20.6148
dbl_bfly_x,ferret_simmedium,20.812
